127.0.0.1 - - [02/Oct/2024:10:34:42 +0200] "GET / HTTP/1.1" 404 687
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/ HTTP/1.1" 200 3218
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/css/globals.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/history/histor.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/botones/musica.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/botones/1vscom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/logo/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/botones/1vs2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/js/index.js HTTP/1.1" 200 700
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/botones/salir.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/img/botones/creditos.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Oct/2024:10:34:43 +0200] "GET /juego/audio/pantalla1.mp3 HTTP/1.1" 304 -
